OTU	FE-56	FE-57	FE-58	FE-59	FE-60	FE-61	FE-62	FE-63	FE-64	FE-65	FE-66	FE-67	FE-68	FE-69	FE-70	FE-71	FE-72	FE-73	FE-74	FE-75	FE-76	FE-77	FE-78	FE-79	FE-80	FE1-reference	FE10-HGCL2-10weeks	FE12-Formalin-10weeks	FE14-Formalin-10weeks	FE16-RNAlater-10weeks	FE17-RNAlater-10weeks	FE18-RNAlater-10weeks	FE2-reference	FE20-RNAlater-10weeks	FE21-DNAgard-10weeks	FE22-DNAgard-10weeks	FE23-DNAgard-10weeks	FE24-DNAgard-10weeks	FE25-DNAgard-10weeks	FE26-PBuffer-10weeks	FE27-PBuffer-10weeks	FE28-PBuffer-10weeks	FE3-reference	FE30-PBuffer-10weeks	FE31-HGCL2-28weeks	FE32-HGCL2-28weeks	FE33-HGCL2-28weeks	FE34-HGCL2-28weeks	FE35-HGCL2-28weeks	FE4-reference	FE41-RNAlater-28weeks	FE42-RNAlater-28weeks	FE43-RNAlater-28weeks	FE44-RNAlater-28weeks	FE45-RNAlater-28weeks	FE46-DNAgard-28weeks	FE47-DNAgard-28weeks	FE48-DNAgard-28weeks	FE49-DNAgard-28weeks	FE5-reference	FE50-DNAgard-28weeks	FE51-PBuffer-28weeks	FE52-PBuffer-28weeks	FE53-PBuffer-28weeks	FE54-PBuffer-28weeks	FE55-PBuffer-28weeks	FE56-HGCL1-50weeks	FE57-HGCL1-50weeks	FE58-HGCL1-50weeks	FE59-HGCL1-50weeks	FE6-HGCL2-10weeks	FE60-HGCL1-50weeks	FE66-RNAlater-50weeks	FE67-RNAlater-50weeks	FE68-RNAlater-50weeks	FE69-RNAlater-50weeks	FE70-RNAlater-50weeks	FE71-DNAgard-50weeks	FE72-DNAgard-50weeks	FE73-DNAgard-50weeks	FE74-DNAgard-50weeks	FE75-DNAgard-50weeks	FE76-PBuffer-50weeks	FE77-PBuffer-50weeks	FE8-HGCL2-10weeks	FE9-HGCL2-10weeks	FE_31	FE_32	FE_33	FE_34	FE_35	FE_37	FE_38	FE_39	FE_40	FE_41	FE_42	FE_43	FE_44	FE_45	FE_46	FE_47	FE_48	FE_50	FE_51	FE_52	FE_53	FE_54	FE_55	Fixativ-Experiment-10	Fixativ-Experiment-11	Fixativ-Experiment-12	Fixativ-Experiment-13	Fixativ-Experiment-14	Fixativ-Experiment-15	Fixativ-Experiment-16	Fixativ-Experiment-17	Fixativ-Experiment-18	Fixativ-Experiment-19	Fixativ-Experiment-1	Fixativ-Experiment-20	Fixativ-Experiment-21	Fixativ-Experiment-22	Fixativ-Experiment-23	Fixativ-Experiment-24	Fixativ-Experiment-25	Fixativ-Experiment-26	Fixativ-Experiment-27	Fixativ-Experiment-28	Fixativ-Experiment-2	Fixativ-Experiment-30	Fixativ-Experiment-3	Fixativ-Experiment-4	Fixativ-Experiment-5	Fixativ-Experiment-6	Fixativ-Experiment-7	Fixativ-Experiment-8	Fixativ-Experiment-9
23	610	5238	994	2044	6394	922	2566	0	404	1037	0	0	0	0	0	0	1	0	0	0	1	0	0	805	0	594	1506	0	59	0	0	1214	1305	0	0	0	0	0	0	0	1180	0	569	0	128	124	101	0	0	1217	0	1	0	1	0	0	302	0	0	2410	0	0	1	0	0	0	302	923	376	3244	47	1183	0	0	0	0	0	0	0	0	0	0	0	728	0	1824	1901	700	1079	1808	1873	718	408	390	196	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1469	0	513	172	1126	573	0	0	0	0	331	0	0	0	0	11	0	0	0	157	635	0	961	434	1301	1130	770	1480	3663
24	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	6702	0	0	140	17	2563	13	21	80	248	1580	105	0	0	514	0	214	142	0	24	0	36	143	122	0	2	0	6	0	0	11	21	0	2268	0	0	0	2	122	0	8	539	209	131	116	463	15	0	1435	1	0	1	1045	0	0	0	0	1752	0	2119	0	0	0	0	151	0	1	0	44	0	0	0	0	0	0	0	0	16	0	0	0	49	30917	126	10	1	0	1	0	0	0	3	0	0	15	266	33	0	0	30	0	1	15	3	0	8	8	10	20	0	0	201
25	662	295	208	138	841	1	0	1074	300	85	0	0	4	0	9	0	716	0	243	194	3	63	1	0	41	88	1227	0	0	42	43	1550	401	72	503	190	213	158	62	23	1460	646	286	388	137	242	110	1245	96	350	7	2	45	305	1	6	258	1759	135	559	209	617	482	522	953	1922	252	1436	897	726	41	416	42	14	6622	173	3	77	399	60	121	28	12	940	0	671	260	381	1364	843	404	97	75	81	21	0	0	11	0	1	48	167	17	149	108	210	139	575	726	227	0	1	0	168	5	9	16	6	0	154	107	1978	176	500	122	434	1251	199	1661	35	1597	74	6	44	301	438	369	319
26	656	646	61	1372	673	1666	1776	0	556	634	0	0	0	0	0	1	4	0	0	1	0	0	0	692	0	62	907	0	0	0	0	1214	342	0	0	0	0	5	0	0	795	0	402	0	355	477	128	0	0	387	0	0	0	2	0	0	525	0	0	1109	1	0	0	0	0	0	800	1317	1452	962	49	1238	1	0	0	1	1	0	0	0	0	0	1	5049	0	709	1681	394	972	3042	619	437	506	766	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	0	227	1	575	727	0	0	0	0	244	1	0	0	0	0	0	0	1	29	291	0	132	80	472	1583	895	3027	4874
20	4461	2398	987	3111	4675	1319	450	0	846	454	0	1	0	0	0	0	3	0	0	0	0	0	0	341	0	331	3541	0	1	1	0	2510	1071	1	0	0	0	1	0	1	2005	0	727	14	474	285	50	1	0	706	0	1	0	0	0	0	804	0	0	1113	0	0	0	0	0	0	721	1836	3019	2043	57	952	0	0	0	0	0	0	0	0	0	1	1	4542	0	1720	516	1042	3599	1489	2870	268	431	226	117	0	0	0	0	0	0	0	0	0	0	0	27	0	0	5438	0	131	561	453	398	0	0	1	0	159	2	0	0	0	0	0	0	0	0	614	0	711	245	657	4568	2582	4142	5070
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	20	24	0	1	894	3	0	0	2	0	0	0	0	130	0	3	0	1	0	0	1	0	5	0	0	3	0	0	2	0	0	0	6	0	0	0	0	2	0	0	0	0	2	38509	4	0	0	0	0	0	0	3	0	5	0	0	0	0	61	185	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2204	0	0	0	0	0	3	185	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	23000	818	10004	1031	498	15	36	12	7	0	36	730	65	0	0	350	6171	449	1263	0	939	11	16	1	165	0	574	1
29	186	511	976	1124	1771	6	49	0	0	0	0	11	0	1	0	0	0	0	0	1	0	3399	0	0	1	108	1068	0	0	52	20	589	235	9	301	173	158	313	43	18	1297	370	184	505	345	358	80	772	67	221	0	3	47	4	0	11	189	1050	35	265	71	293	662	1161	1798	0	186	996	201	252	55	924	0	8	6803	3	3	20	604	16	56	1	5	844	0	881	22	177	695	122	0	79	0	53	25	0	0	0	0	0	0	0	0	23	30	156	113	772	53	551	10	0	0	0	0	1	0	2	0	179	2	52	68	442	21	60	893	157	38	5	2236	4	4	0	103	419	141	220
19	2	0	0	0	0	0	0	0	3	0	1	2	0	0	0	1346	46708	330	64	0	0	1	1	0	2	0	0	7	0	0	0	0	0	1	0	1280	33	32	3101	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	855	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1516	0	0	22626	12	30	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	587	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2200	1873	168	2114	0	0	0	0	0	0	0	0	0	0	0	0
33	982	0	706	479	143	397	1227	0	530	225	0	0	0	0	0	0	3	0	0	0	0	0	0	240	0	1328	1125	546	217	0	0	480	1761	0	0	0	0	0	0	0	616	0	1017	7	196	67	27	0	0	1177	0	0	0	0	0	0	87	0	0	1488	1	0	0	0	0	0	277	280	370	424	6	662	0	0	0	0	0	0	0	0	0	0	0	697	0	424	771	366	646	248	1070	1032	799	656	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	1	430	1038	765	2029	0	0	0	0	827	0	0	13	0	0	0	0	152	0	627	0	745	303	778	477	164	543	796
