sample_title	internal_id	locus_tag	preservation	time	extraction	forward_read_file_name	reverse_read_file_name
50w_NS_euk_Form_rep1	FE61_NS_euk_Formalin_50_weeks	18S	Formalin	50w	NucleoSpin	FE-61_S45_L001_R1_001.fastq.gz	FE-61_S45_L001_R2_001.fastq.gz
50w_NS_bac_Form_rep2	FE62_NS_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	NucleoSpin	FE62_NS_bactV4V5_Formalin_50_weeks_S62_L001_R1_001.fastq.gz	FE62_NS_bactV4V5_Formalin_50_weeks_S62_L001_R2_001.fastq.gz
50w_PW_bac_Form_rep2	FE62_PW_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	PowerWater	FE62_PW_bactV4V5_Formalin_50_weeks_S153_L001_R1_001.fastq.gz	FE62_PW_bactV4V5_Formalin_50_weeks_S153_L001_R2_001.fastq.gz
50w_NS_euk_Form_rep2	FE62_NS_euk_Formalin_50_weeks	18S	Formalin	50w	NucleoSpin	FE-62_S53_L001_R1_001.fastq.gz	FE-62_S53_L001_R2_001.fastq.gz
50w_NS_bac_Form_rep3	FE63_NS_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	NucleoSpin	FE63_NS_bactV4V5_Formalin_50_weeks_S63_L001_R1_001.fastq.gz	FE63_NS_bactV4V5_Formalin_50_weeks_S63_L001_R2_001.fastq.gz
50w_NS_euk_Form_rep3	FE63_NS_euk_Formalin_50_weeks	18S	Formalin	50w	NucleoSpin	FE-63_S61_L001_R1_001.fastq.gz	FE-63_S61_L001_R2_001.fastq.gz
50w_NS_bac_Form_rep4	FE64_NS_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	NucleoSpin	FE64_NS_bactV4V5_Formalin_50_weeks_S64_L001_R1_001.fastq.gz	FE64_NS_bactV4V5_Formalin_50_weeks_S64_L001_R2_001.fastq.gz
50w_NS_euk_Form_rep4	FE64_NS_euk_Formalin_50_weeks	18S	Formalin	50w	NucleoSpin	FE-64_S2_L001_R1_001.fastq.gz	FE-64_S2_L001_R2_001.fastq.gz
50w_NS_bac_Form_rep5	FE65_NS_bactV4V5_Formalin_50_weeks	16S	Formalin	50w	NucleoSpin	FE65_NS_bactV4V5_Formalin_50_weeks_S65_L001_R1_001.fastq.gz	FE65_NS_bactV4V5_Formalin_50_weeks_S65_L001_R2_001.fastq.gz
50w_NS_euk_Form_rep5	FE65_NS_euk_Formalin_50_weeks	18S	Formalin	50w	NucleoSpin	FE-65_S12_L001_R1_001.fastq.gz	FE-65_S12_L001_R2_001.fastq.gz
50w_NS_bac_RNAl_rep1	FE66_NS_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	NucleoSpin	FE66_NS_bactV4V5_RNAlater_50_weeks_S66_L001_R1_001.fastq.gz	FE66_NS_bactV4V5_RNAlater_50_weeks_S66_L001_R2_001.fastq.gz
50w_PW_bac_RNAl_rep1	FE66_PW_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	PowerWater	FE66_PW_bactV4V5_RNAlater_50_weeks_S154_L001_R1_001.fastq.gz	FE66_PW_bactV4V5_RNAlater_50_weeks_S154_L001_R2_001.fastq.gz
50w_NS_euk_RNAl_rep1	FE66_NS_euk_RNAlater_50_weeks	18S	RNAlater	50w	NucleoSpin	FE-66_S21_L001_R1_001.fastq.gz	FE-66_S21_L001_R2_001.fastq.gz
50w_PW_euk_RNAl_rep1	FE66_PW_euk_RNAlater_50_weeks	18S	RNAlater	50w	PowerWater	FE66-RNAlater-50weeks_S54_L001_R1_001.fastq.gz	FE66-RNAlater-50weeks_S54_L001_R2_001.fastq.gz
50w_NS_bac_RNAl_rep2	FE67_NS_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	NucleoSpin	FE67_NS_bactV4V5_RNAlater_50_weeks_S67_L001_R1_001.fastq.gz	FE67_NS_bactV4V5_RNAlater_50_weeks_S67_L001_R2_001.fastq.gz
50w_PW_bac_RNAl_rep2	FE67_PW_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	PowerWater	FE67_PW_bactV4V5_RNAlater_50_weeks_S155_L001_R1_001.fastq.gz	FE67_PW_bactV4V5_RNAlater_50_weeks_S155_L001_R2_001.fastq.gz
50w_NS_euk_RNAl_rep2	FE67_NS_euk_RNAlater_50_weeks	18S	RNAlater	50w	NucleoSpin	FE-67_S30_L001_R1_001.fastq.gz	FE-67_S30_L001_R2_001.fastq.gz
50w_PW_euk_RNAl_rep2	FE67_PW_euk_RNAlater_50_weeks	18S	RNAlater	50w	PowerWater	FE67-RNAlater-50weeks_S66_L001_R1_001.fastq.gz	FE67-RNAlater-50weeks_S66_L001_R2_001.fastq.gz
50w_NS_bac_RNAl_rep3	FE68_NS_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	NucleoSpin	FE68_NS_bactV4V5_RNAlater_50_weeks_S68_L001_R1_001.fastq.gz	FE68_NS_bactV4V5_RNAlater_50_weeks_S68_L001_R2_001.fastq.gz
50w_PW_bac_RNAl_rep3	FE68_PW_bactV4V5_RNAlater_50_weeks	16S	RNAlater	50w	PowerWater	FE68_PW_bactV4V5_RNAlater_50_weeks_S156_L001_R1_001.fastq.gz	FE68_PW_bactV4V5_RNAlater_50_weeks_S156_L001_R2_001.fastq.gz
